"Document Title","Added","Issue"
"A Scalable Multilayer Middleware for Distributed Monitoring and Complex Event Processing for Smart Cities","2018","In this paper, we present a hierarchical, distributed, cloud-based, context-aware architecture for collecting, processing and distributing data in a smart city. The architecture we are proposing has three hierarchical levels, and supports complex event processing (CEP) in several of them. At the lower layer, several mobile objects work as interfaces to sensors and actuators and provide processing capability for local filtering and detection. A second level, consisting of gateways and processing nodes, processes information from its locale and sends the data received from the mobile objects to the storage level using the existing network infrastructure. The highest level provides support for structured storage and queries of the information. Applications outside the platform can collect data through the external interface of the highest level. The system is under development using the InterSCity platform in the upper layer, the ContextNet middleware at the middle layer, and the Mobile-Hub application at the lower layer. It currently collects and processes data on buses running in the City of Rio de Janeiro."
"Shapelets and Parallel Coordinates Based Automated Query Generation for Complex Event Processing","2016","Automating the query generation for Complex Event Processing (CEP) has marked its own importance in allowing users to obtain useful insights from data. Existing techniques are both computationally expensive and require extensive domain-specific human interaction. In addressing these issues, we propose a technique that combines both parallel coordinates and shapelets. First, each instance of the multivariate data is represented as a line on a set of parallel coordinates. Then a shapelet-learner algorithm is applied to those lines to extract the relevant shapelets. Afterwards, the identified shapelets are ranked based on their information gain. Next, the shapelets with similar information gain are divided into groups by a shapelet-merger algorithm. The best group for each event is then identified based on the event distribution of the dataset. Then the best group is used to generate the query to detect the complex events. The proposed technique can be applied to both multivariate and multivariate time-series data, and it is computationally and memory efficient. It enables users to focus only on the shapelets with relevant information gains. We demonstrate the utility of the proposed technique using a set of real-world datasets."
"A semantic sensor mashup platform for Internet of Things","2018","With the rapid advancement of the Internet of Things (IoT), a number of sensors are constantly deployed and connected to the Web, generating a large amount of real-time streaming data. Such sensor streams may include contextual events, which indicate meaningful information on our environment. For this reason, Web applications which are developed for IoT should embrace sensor streams. Hence, there is a need for a sensor mashup tool to compose multiple sensors for effectively processing sensor streams. However, existing models for sensor mashup do not support complex events included in sensor streams. In this paper, we propose a virtual complex sensor (VCS) model that enables users to combine various existing sensors and formula-based knowledge. In addition, we propose a method of automatically generating multiple VCSs according to a user's configuration. We also provide a graphical user interface for building a VCS mashup and processing complex events. Experimental results on the proposed semantic sensor mashup show that the proposed approach is reasonable and applicable to various IoT application domains."
"A Streamlined Approach for Real-Time Data Analytics","2018","Complex and diverse data is continuously being generated every microsecond because of computational intelligence in every field. Leveraging the huge amount of sensory information is a key issue to realize the IoT solutions in many areas. Traditional approaches reported in the literature for ingesting and processing data in real-time become in-efficient sometimes or may result in inadequate results. The faster one can manipulate information from data, the greater the value and cost of operational data become. This paper explains the cost-efficient method of processing and analyzing data in real time along with tools and techniques used for certain applications."
"Fog-enabled Event Processing Based on IoT Resource Models","2018","Complex Event Processing (CEP) systems extract interest situations from event flows based on event detection patterns. However, local event processing for distributed Internet of Things (IoT) has not been discussed yet. Besides, it is complex or impossible to discover such patterns in some applications of IoT. In this article, we design a complex event service to process event flows based on IoT resource models, which does not depend on existing patterns, and deals with both discrete events and continuous variables. To improve the CEP performance, local IoT resources are used for local event processing, and a lazy exchange method is designed to realize the collaborated event processing between network edges and a data center. Our evaluation shows that our solution is feasible and effective."
"Adaptive Energy-Aware Scheduling of Dynamic Event Analytics Across Edge and Cloud Resources","2018","The growing deployment of sensors as part of Internet of Things (IoT) is generating thousands of event streams. Complex Event Processing (CEP) queries offer a useful paradigm for rapid decision-making over such data sources. While often centralized in the Cloud, the deployment of capable edge devices on the field motivates the need for cooperative event analytics that span Edge and Cloud computing. Here, we identify a novel problem of query placement on edge and Cloud resources for dynamically arriving and departing analytic dataflows. We define this as an optimization problem to minimize the total makespan for all event analytics, while meeting energy and compute constraints of the resources. We propose 4 adaptive heuristics and 3 rebalancing strategies for such dynamic dataflows, and validate them using detailed simulations for 100 - 1000 edge devices and VMs. The results show that our heuristics offer O(seconds) planning time, give a valid and high quality solution in all cases, and reduce the number of query migrations. Furthermore, rebalance strategies when applied in these heuristics have significantly reduced the makespan by around 20 - 25%."
"Algorithmic Strategies for Sensing-as-a-Service in the Internet-of-Things Era","2015","The objective of this thesis is to design efficient algorithms and architectures for enabling a Sensing as a Service paradigm in the recent era of Internet-of-things. With the widespread deployment of sensor architectures and sensor-enabled applications all around the globe, our planet today is witnessing an unprecedented instrumentation. The emerging paradigm of Sensing as a Service is replete with many open challenges, starting from systematic sensor deployment, regulated data collection, efficient data aggregation, scalable execution and proper participation. This dissertation aims to address some of these open challenges and attempts to carve a niche proposition by handling these problems from a purely algorithmic perspective. The objective is to examine each of the crucial pieces outlined above in the light of algorithmic design and come up with efficient mechanisms that are both practical and theoretically well-founded. The experiments are planned on real world data and hence, are expected to allow us to examine the efficacy of our proposals in a realistic setting."
"Complex event processing for RFID-enabled retail store","2017","Out-of-stock is considered to be a major problem for retailers and suppliers. In this paper, we study the problem of complex event processing in a RFID enabled retail store operation, particularly aiming to provide automated shelf replenishment decisions. We define different event queries to simulate retailer store workflow in the area of backroom (warehouse) and the sales floor over the RFID data streams with item level and case-level tagging. With these queries to detect different levels of objects movement, the retail store can quickly replenish the shelves without long time delays. We utilize a simulated RFID enabled retail store to verify the effectiveness of our method."
"A Semantic Publish-Subscribe Architecture for the Internet of Things","2016","This paper presents a publish-subscribe architecture designed to support information level interoperability in smart space applications in the Internet of Things (IoT). The architecture is built on top of a generic SPARQL endpoint where publishers and subscribers use standard SPARQL Updates and Queries. Notifications about events [i.e., changes in the resource description framework (RDF) knowledge base] are expressed in terms of added and removed SPARQL binding results since the previous notification, limiting the network overhead and facilitating notification processing at subscriber side. A novel event detection algorithm, tailored on the IoT specificities (i.e., heterogeneous events need to be detected and continuous updates of few RDF triples dominate with respect to more complex updates), is presented along with the envisioned application design pattern and performance evaluation model. Eventually, a reference implementation is evaluated against a benchmark inspired by a smart city lighting case. The performance evaluation results show the capability to process up to 68k subscriptions/s triggered by simple single-lamp updates and up to 3.8k subscriptions/s triggered by more complex updates (i.e., 10 to 100 lamps)."
"Poster Abstract: Real-Time DDoS Detection Based on Complex Event Processing for IoT","2018","With the Internet of Things expansion, there has been an increase in the development of services and applications that use context-aware devices incorporated into smart environments. Those devices produce large quantities of data and demand faster and more precise defense mechanisms. Complex Event Processing (CEP) is an emerging and promising technology that allows real-time analysis of continuous data-steams. In this work, we proposed and developed a DDoS (Distributed Denial of Service) detection system and evaluated its performance running on a Raspberry Pi. The results show that the system can be executed on devices with reduced computational power and that CEP is a viable solution to improve the real-time performance on the detection of DDoS attacks on IoT environments."
